food_id,gx,gy,x,y,value,size,fruit_index,hex_id_le,hex_x_le,hex_y_le,binary_packet_hex
1,0,0,200,200,10,87,5,01 00 00 00,00 00 48 43,00 00 48 43,01 00 00 00 00 00 00 00 00 00 48 43 00 00 48 43
2,1,0,512.7,200,5,62,4,02 00 00 00,CD 2C 00 44,00 00 48 43,02 00 00 00 01 00 00 00 CD 2C 00 44 00 00 48 43
3,2,0,723.6,200,8,77,11,03 00 00 00,66 E6 34 44,00 00 48 43,03 00 00 00 02 00 00 00 66 E6 34 44 00 00 48 43
4,3,0,1046.8,254.4,10,87,11,04 00 00 00,9A D9 82 44,66 66 7E 43,04 00 00 00 03 00 00 00 9A D9 82 44 66 66 7E 43
5,4,0,1260.3,200,10,87,1,05 00 00 00,9A 89 9D 44,00 00 48 43,05 00 00 00 04 00 00 00 9A 89 9D 44 00 00 48 43
6,5,0,1583.7,215.1,6,67,4,06 00 00 00,66 F6 C5 44,9A 19 57 43,06 00 00 00 05 00 00 00 66 F6 C5 44 9A 19 57 43
7,6,0,2014.8,247.7,10,87,1,07 00 00 00,9A D9 FB 44,33 B3 77 43,07 00 00 00 06 00 00 00 9A D9 FB 44 33 B3 77 43
8,7,0,2293.8,200,5,62,2,08 00 00 00,CD 5C 0F 45,00 00 48 43,08 00 00 00 07 00 00 00 CD 5C 0F 45 00 00 48 43
9,8,0,2477.4,256.1,9,82,3,09 00 00 00,66 D6 1A 45,CD 0C 80 43,09 00 00 00 08 00 00 00 66 D6 1A 45 CD 0C 80 43
10,9,0,2756.3,200,10,87,1,0A 00 00 00,CD 44 2C 45,00 00 48 43,0A 00 00 00 09 00 00 00 CD 44 2C 45 00 00 48 43
11,10,0,3054.2,200,10,87,2,0B 00 00 00,33 E3 3E 45,00 00 48 43,0B 00 00 00 0A 00 00 00 33 E3 3E 45 00 00 48 43
12,11,0,3469.3,200,6,67,7,0C 00 00 00,CD D4 58 45,00 00 48 43,0C 00 00 00 0B 00 00 00 CD D4 58 45 00 00 48 43
13,12,0,3766.9,251.5,5,62,9,0D 00 00 00,66 6E 6B 45,00 80 7B 43,0D 00 00 00 0C 00 00 00 66 6E 6B 45 00 80 7B 43
14,13,0,4003.6,200,6,67,4,0E 00 00 00,9A 39 7A 45,00 00 48 43,0E 00 00 00 0D 00 00 00 9A 39 7A 45 00 00 48 43
15,14,0,4301.1,212.2,5,62,3,0F 00 00 00,CD 68 86 45,33 33 54 43,0F 00 00 00 0E 00 00 00 CD 68 86 45 33 33 54 43
16,15,0,4540.3,242,7,72,7,10 00 00 00,66 E2 8D 45,00 00 72 43,10 00 00 00 0F 00 00 00 66 E2 8D 45 00 00 72 43
17,16,0,4983.7,220.6,10,87,5,11 00 00 00,9A BD 9B 45,9A 99 5C 43,11 00 00 00 10 00 00 00 9A BD 9B 45 9A 99 5C 43
18,17,0,5176.2,200,10,87,1,12 00 00 00,9A C1 A1 45,00 00 48 43,12 00 00 00 11 00 00 00 9A C1 A1 45 00 00 48 43
19,18,0,5518.2,200,10,87,5,13 00 00 00,9A 71 AC 45,00 00 48 43,13 00 00 00 12 00 00 00 9A 71 AC 45 00 00 48 43
20,19,0,5932.9,225.8,5,62,4,14 00 00 00,33 67 B9 45,CD CC 61 43,14 00 00 00 13 00 00 00 33 67 B9 45 CD CC 61 43
21,20,0,6232.1,200,9,82,3,15 00 00 00,CD C0 C2 45,00 00 48 43,15 00 00 00 14 00 00 00 CD C0 C2 45 00 00 48 43
22,21,0,6509.9,245.7,7,72,6,16 00 00 00,33 6F CB 45,33 B3 75 43,16 00 00 00 15 00 00 00 33 6F CB 45 33 B3 75 43
23,22,0,6723.6,200,7,72,12,17 00 00 00,CD 1C D2 45,00 00 48 43,17 00 00 00 16 00 00 00 CD 1C D2 45 00 00 48 43
24,23,0,6991.3,242.2,10,87,12,18 00 00 00,66 7A DA 45,33 33 72 43,18 00 00 00 17 00 00 00 66 7A DA 45 33 33 72 43
